country_label,country,decor_label,decor,type_label,type,file
1,Russia,1,Gzhel,1,pattern,0000.png
1,Russia,1,Gzhel,1,pattern,0001.png
1,Russia,1,Gzhel,1,pattern,0002.png
1,Russia,1,Gzhel,1,pattern,0003.png
1,Russia,1,Gzhel,1,pattern,0004.png
1,Russia,1,Gzhel,1,pattern,0005.png
1,Russia,1,Gzhel,1,pattern,0006.png
1,Russia,1,Gzhel,1,pattern,0007.png
1,Russia,1,Gzhel,1,pattern,0008.png
1,Russia,1,Gzhel,1,pattern,0009.png
1,Russia,1,Gzhel,1,pattern,0010.png
1,Russia,1,Gzhel,1,pattern,0011.png
1,Russia,1,Gzhel,1,pattern,0012.png
1,Russia,1,Gzhel,1,pattern,0013.png
1,Russia,1,Gzhel,1,pattern,0014.png
1,Russia,1,Gzhel,1,pattern,0015.png
1,Russia,1,Gzhel,1,pattern,0016.png
1,Russia,1,Gzhel,1,pattern,0017.png
1,Russia,1,Gzhel,1,pattern,0018.png
1,Russia,1,Gzhel,1,pattern,0019.png
1,Russia,1,Gzhel,1,pattern,0020.png
1,Russia,1,Gzhel,1,pattern,0021.png
1,Russia,1,Gzhel,1,pattern,0022.png
1,Russia,1,Gzhel,1,pattern,0023.png
1,Russia,1,Gzhel,1,pattern,0024.png
1,Russia,1,Gzhel,1,pattern,0025.png
1,Russia,1,Gzhel,1,pattern,0026.png
1,Russia,1,Gzhel,1,pattern,0027.png
1,Russia,1,Gzhel,1,pattern,0028.png
1,Russia,1,Gzhel,1,pattern,0029.png
1,Russia,1,Gzhel,1,pattern,0030.png
1,Russia,1,Gzhel,1,pattern,0031.png
1,Russia,1,Gzhel,1,pattern,0032.png
1,Russia,1,Gzhel,1,pattern,0033.png
1,Russia,1,Gzhel,1,pattern,0034.png
1,Russia,1,Gzhel,1,pattern,0035.png
1,Russia,1,Gzhel,1,pattern,0036.png
1,Russia,1,Gzhel,1,pattern,0037.png
1,Russia,1,Gzhel,1,pattern,0038.png
1,Russia,1,Gzhel,1,pattern,0039.png
1,Russia,1,Gzhel,1,pattern,0040.png
1,Russia,1,Gzhel,1,pattern,0041.png
1,Russia,1,Gzhel,1,pattern,0042.png
1,Russia,1,Gzhel,1,pattern,0043.png
1,Russia,1,Gzhel,1,pattern,0044.png
1,Russia,1,Gzhel,1,pattern,0045.png
1,Russia,1,Gzhel,1,pattern,0046.png
1,Russia,1,Gzhel,1,pattern,0047.png
1,Russia,1,Gzhel,1,pattern,0048.png
1,Russia,1,Gzhel,1,pattern,0049.png
1,Russia,1,Gzhel,1,pattern,0050.png
1,Russia,1,Gzhel,1,pattern,0051.png
1,Russia,1,Gzhel,1,pattern,0052.png
1,Russia,1,Gzhel,1,pattern,0053.png
1,Russia,1,Gzhel,1,pattern,0054.png
1,Russia,1,Gzhel,1,pattern,0055.png
1,Russia,1,Gzhel,1,pattern,0056.png
1,Russia,1,Gzhel,1,pattern,0057.png
1,Russia,1,Gzhel,1,pattern,0058.png
1,Russia,1,Gzhel,1,pattern,0059.png
1,Russia,1,Gzhel,1,pattern,0060.png
1,Russia,1,Gzhel,1,pattern,0061.png
1,Russia,1,Gzhel,1,pattern,0062.png
1,Russia,1,Gzhel,1,pattern,0063.png
1,Russia,1,Gzhel,1,pattern,0064.png
1,Russia,1,Gzhel,1,pattern,0065.png
1,Russia,1,Gzhel,1,pattern,0066.png
1,Russia,1,Gzhel,1,pattern,0067.png
1,Russia,1,Gzhel,1,pattern,0068.png
1,Russia,1,Gzhel,1,pattern,0069.png
